"UMAP_1","UMAP_2"
-7.78379211547116,-2.58827307947512
-7.78379211547116,-2.58827307947512
-7.58610160435745,-2.50776629634326
-7.54932847159308,-2.49280813912104
-7.34504538452385,-2.40991557348609
-7.32114185237867,-2.40025468796775
-7.29505038528398,-2.38972146464773
-7.21081555440014,-2.35578765834086
-7.09415281604386,-2.3090798748787
-7.06711009837421,-2.29830767592966
-7.03967670672407,-2.28742668525514
-6.93099629191032,-2.24453414608347
-6.85586627049442,-2.21521091146984
-6.85363983068931,-2.21434781231168
-6.81685949093064,-2.20011599819216
-6.81650894324008,-2.19998116210248
-6.81613158107891,-2.19983601198576
-6.77584618372416,-2.18434047287176
-6.74471498407326,-2.17249368866833
-6.65338479980676,-2.1380045372439
-6.60630757029839,-2.12061459446703
-6.5320302208952,-2.09356374450827
-6.51489297278615,-2.08748677553847
-6.4387005444688,-2.06069488636291
-6.43554059530549,-2.05962596712874
-6.42602188828586,-2.05640606437339
-6.28150577349156,-2.00773399118049
-6.24312930769423,-1.9953180920903
-6.01069479035402,-1.92204040377855
-5.99916775038634,-1.91852704344304
-5.91899407270603,-1.89417181656293
-5.91457351732307,-1.89284512513264
-5.84447430974457,-1.87186880427732
-5.81549300190729,-1.86335380162238
-5.6885089476984,-1.82641435161289
-5.68300043246394,-1.82486154654346
-5.49978120142822,-1.77334974137985
-5.39953909644402,-1.74598466145552
-5.37408958550678,-1.73913084882272
-5.32479926629642,-1.72591692790748
-5.32208877972818,-1.72519459184679
-5.25878349019307,-1.70833958422704
-5.21392220113921,-1.69648064168042
-5.10264012124332,-1.66717628324619
-5.01071225583106,-1.64307998715989
-4.98084926267035,-1.63525617098787
-4.9698202342991,-1.63236486574349
-4.91335623192782,-1.6175621289908
-4.90890936905289,-1.61639593146669
-4.75905225368786,-1.57709564229103
-4.71171779377672,-1.56469873415364
-4.69790339433591,-1.56108316266997
-4.66880343382028,-1.55347694224467
-4.64498715222509,-1.54725502702709
-4.59888601450315,-1.53521291367801
-4.54928112420791,-1.52224851984966
-4.51926831630915,-1.51439753614354
-4.48621412975176,-1.50574702054311
-4.46125734259767,-1.49921321742936
-4.40707272964281,-1.4850245447356
-4.39618849491605,-1.48217406006362
-4.3668031037289,-1.47447703834312
-4.33945960488354,-1.4673140882605
-4.23299362269384,-1.43947429347682
-4.21287987279374,-1.43421985090672
-4.11262899329795,-1.40817800988276
-3.9904553049768,-1.37676814945921
-3.96583140417472,-1.37047949474719
-3.88609545284254,-1.35018611588148
-3.7965796024179,-1.32769967184286
-3.79144626727237,-1.32641916402031
-3.62809293826359,-1.28625900185756
7.42208557897638,1.33979315415902
7.8478093656269,1.44094148052158
8.06964641089677,1.49364806295336
8.11506137537858,1.50443826963946
8.21178707409531,1.5274194674213
8.470739583143,1.58894436623806
8.53773675350149,1.64398649720034
8.60128065997703,1.72526585215888
8.60377042139176,1.72845051947026
8.68543194311042,1.87669398231311
8.69197729605187,1.89564403241648
8.69493419948624,1.90420483406208
8.70485882266189,1.96279488527063
8.71326770810946,2.01243677295354
8.71326770810946,2.01243677295354
8.70972085802779,2.07949876067226
8.68673856724426,2.16756163138645
8.68673856724426,2.16756163138645
8.65814555125247,2.22689979762074
8.64703426886373,2.24645615209901
8.56890035661406,2.34528323016793
8.43240102873225,2.46112522594514
8.40854639700579,2.47662219837025
8.29595239318538,2.53979266234187
8.29282726844998,2.54126211796964
7.98359361279873,2.66940364848647
7.94625909719882,2.68035389931823
7.90937883779805,2.69087504847818
7.90937883779805,2.69087504847818
7.81007657078771,2.71401516938324
7.72351621010105,2.73372254396719
7.53575079433613,2.76372263309963
7.5034831498728,2.76797619309923
7.38559347816419,2.77795036193882
7.24820293000328,2.78621313824705
6.79230583852837,2.80103169051565
6.60877617505659,2.79564255680948
6.48932713202627,2.79036680291402
6.19616378857488,2.77461440005223
6.0641334667288,2.76538934530741
5.99176331026707,2.75996760475856
5.98068561557667,2.75913099997117
5.93141778489723,2.75541021652634
5.81429571623763,2.74613654513992
5.78731070989137,2.74396746306012
5.63724978782186,2.7316905204355
5.60095008661841,2.72865104667676
5.46832057887213,2.71751719967689
5.46832057887213,2.71751719967689
5.46832057887213,2.71751719967689
5.46832057887213,2.71751719967689
5.46832057887213,2.71751719967689
5.46832057887213,2.71751719967689
5.46832057887213,2.71751719967689
